プロジェクト名,期限,タスク内容,チェーン,重要度,ステータス,ソースURL,chains,ピン留め,sort_date,登録日時,is_completed,資金調達額,VC
dTelecom,2026/04/30 23:59,Galxe Phase#2への参加（ソーシャルタスク・NFTミント）、報酬プラットフォーム(rewards.dtelecom.org)でのポイントファーミング,不明（分散型通信）,B,完了,https://rewards.dtelecom.org/reward,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.070184+00:00,False,不明,不明
The Invention Network,2026/12/31 23:59,プラットフォーム(app.inventmoney.com)でのポイントファーミング実施（1回30分程度のタスク完了）,不明（金融イノベーション）,B,完了,https://app.inventmoney.com/r/JEGC2934,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.073355+00:00,False,不明,不明
Opinion Labs,2026/03/01 08:59,ネイティブトークン $OPN のエアドロップ受け取りアドレス登録。公式サイトで最大5つの自己管理型BNB Chainウォレットを指定。未登録は接続済みウォレットが対象。3月4日にトークンローンチ予定。,BNB Chain,S,完了,https://t.co/dFyi4iFk2w,,False,,2026-03-01T22:52:07.077016+00:00,,不明,不明
Solstice,2026/03/31 23:59,3月のエアドロップ請求（Airdrop Claim）に向けて準備を行うこと。詳細は公式アナウンスを確認。,不明,B,完了,https://t.co/dFyi4iFk2w,,False,,2026-03-01T22:52:07.080257+00:00,,不明,不明
Nige,2026/03/31 23:59,独自トークンのローンチに伴い、EthereumまたはBNB Chainのウォレットに公式コントラクトアドレスを追加して報酬を確認し、請求案内を確認する。,"Ethereum, BNB Chain",A,未完了,https://t.co/yiPpfqqcVy,,False,,2026-03-01T22:52:07.084052+00:00,,不明,不明
T54 Labs,なし,シードラウンドで500万ドルの資金調達を完了。AIエージェント向けのアイデンティティおよびコンプライアンス基盤の開発状況を注視。,不明,C,未完了,https://t.co/SKjzSKxEj2,,False,,2026-03-01T22:52:07.087341+00:00,,不明,不明
Sentient,なし,AI推論開発プラットフォーム「Arena」のローンチ。AI開発者は実世界のエンタープライズ推論タスクでの性能評価に参加可能。,不明,C,完了,不明,,False,,2026-03-01T22:52:07.090988+00:00,,不明,不明
idOS Network,2026/03/10 00:00,コミュニティセールへの参加（平均500 USD）、デイリーチェックイン、ソーシャルタスク（X/Discord等）の完了によるポイント獲得,分散型IDネットワーク（Gnosis/Circle/Fabric Ventures支援）,S,完了,https://www.idos.network/blog/idos-consortium-partners-and-4-5m-funding-round,,False,,2026-03-01T22:52:07.095906+00:00,,不明,不明
ForU AI,2026/03/31 23:59,プラットフォームへの登録、複数ソーシャルアカウントの連携、デイリークエストの完了によるレピュテーションスコア（バッジ）の構築,分散型ID（DID）,A,完了,https://pitchbook.com/profiles/company/741529-36,,False,,2026-03-01T22:52:07.100210+00:00,,不明,不明
OP_NET (BitGlyphs),2026/03/17 00:00,OP_WALLETのインストール、テストネットrBTCの取得、テストネットでのBitGlyphs NFTミント、Motoswap等のdApps利用試行,Bitcoin L1,B,完了,https://opnet.org/odyssey/,,False,,2026-03-01T22:52:07.104048+00:00,,不明,不明
Sentio / Fabric Protocol,2026/03/31 23:59,Binance WalletでのSTブースターイベント参加（最大3 BNB）、Binance Alphaポイントを消費してのROBOエアドロップ請求,BNB Chain (Binance Wallet),B,未完了,https://tokenterminal.com,,False,,2026-03-01T22:52:07.107568+00:00,,不明,不明
Monad,不明,"・プロジェクトの進捗確認およびエコシステムへの参加準備（詳細は公式発表を参照）
・プロジェクトの進捗確認およびエアドロップに向けた準備（詳細はソース元を確認）
・プロジェクトの動向確認および早期参画の検討（入力テキストに具体的なタスク記載なし）
・プロジェクトの動向確認およびエコシステムへの参加準備
・プロジェクトの進捗確認およびエコシステムへの参加（詳細は要確認）
・プロジェクトの進捗確認およびエコシステムへの参加準備（資金調達情報の確認）
・詳細不明（入力テキストに基づく資金調達情報の確認およびプロジェクトの監視）
・資金調達情報の確認およびプロジェクトの動向監視（入力テキストに具体的なタスクの記載なし）
・プロジェクトの動向確認および情報収集（テキスト内に具体的なタスクの記載なし）
・資金調達情報の確認および今後のエコシステム参加（詳細タスクは入力テキストに含まれていません）
・詳細不明（プロジェクトの動向確認およびテストネット等への参加準備）
・プロジェクトの動向確認およびエアドロップ関連タスクの実行
・不明",Monad,S,完了,不明,,False,,2026-03-03T23:16:46.169161+00:00,,200M,Paradigm etc
idOS (Identity Operating System),2026/03/05 23:00,1.Tallyで実施中のCCAセールPhase 2に参加（最低1 ETH〜）。2.Gate.io上場後の価格動向を監視。3.Krakenなど他取引所への上場を見越した短期売買の検討。,不明,B,完了,"Tally, Gate.io",,False,,2026-03-03T23:26:08.006693+00:00,,650万ドル,不明
Perceptron Network (旧BlockMesh),不明 (リブランド直後・進行中),1.ブラウザ拡張機能(extension.perceptrons.xyz)をインストールし未使用帯域幅を共有。2.モバイルアプリをダウンロードしノードを稼働。3.データクエストを完了し「Prove your humanity」を実施。,不明,B,未完了,extension.perceptrons.xyz,,False,,2026-03-03T23:26:08.017184+00:00,,約2500万ドル,不明
RealGo,2026/03/11 23:59,1.ゲームをダウンロードし、ロイヤリティポイントをファームする。2.PVPアリーナでバトルに参加し追加報酬を獲得。3.dApp(app.realgo.game)でオンチェーンアクションを行い、ポイント倍率(3倍)を獲得する。,不明,C,完了,app.realgo.game,,False,,2026-03-03T23:26:08.025241+00:00,,"不明 (報酬プール5,000ドル以上)",不明
Canopy (Movement),不明 (テストネット稼働中),1.テストネットで$CNPYのステーキングを試行。2.Galxeクエストを完了しポイントを獲得。3.メインネット移行まで継続的に参加する。,Movement,C,完了,Galxe,,False,,2026-03-03T23:26:08.035871+00:00,,120万ドル,不明
Helios (HLS),2026/03/31 23:59,1.KingdomStarterを監視し、IDOの具体的なスケジュールを確認。2.公式X(@helios_layer1)をフォロー。3.ホワイトリスト登録が開始されたら早期に参加する。,Helios (Modular L1),B,未完了,"KingdomStarter, @helios_layer1",,False,,2026-03-03T23:26:08.046205+00:00,,1705万ドル,不明
SecantX AI (SECA),2026/03/31 23:59,1.KingdomStarterでIDO詳細を確認。2.プロジェクトの公式チャンネルをフォローし最新情報を追う。3.プライベートセール($0.05)の機会があれば参加を検討。,不明,C,完了,KingdomStarter,,False,,2026-03-03T23:26:08.056014+00:00,,不明,不明
Opinion (OPN),2026/03/05 09:00,1.TGE後の価格動向を監視。2.エアドロップを受け取った場合は、信頼性低下による暴落リスクを考慮し即時売却を検討。,不明,C,完了,不明,,False,,2026-03-03T23:26:08.066581+00:00,,不明,不明
Sanctum,不明（ウェイトリスト受付中）,"・Sanctum Appウェイトリスト登録済（xakahiro@live.jp）
・$CLOUDのステーキング(sCLOUD)によるASR獲得とガバナンス参加
・$INFの保有によるリワード獲得と利用実績の構築
・Wonderland Season 3や「Cloud Pets」等の将来的なインセンティブに向けた公式情報の追跡",Solana,S,未完了,https://sanctum.so/app,,True,,2026-03-03T23:47:26.134185+00:00,,$37.2M,"Dragonfly, Sequoia Capital, Jump Capital, Solana Ventures, BOOGLE, Davo"
Nexus Labs,2026/10/31 23:59,quest.nexus.xyzでのクエスト完了、Node Rushへの参加（ノード実行）、Rust zkVMへのコンピューティングリソース提供。,Nexus (zkVM),S,未完了,https://nexus.xyz/,,False,,2026-03-05T04:05:58.860758+00:00,,$25M,"Lightspeed (リード), Tier1投資家"
RISE Chain,2026/10/31 23:59,Zenrise S1テストネットでのトランザクション実行、エコシステム内プロトコルの利用。,RISE Chain (L2),A,未完了,https://risechain.com/,,False,,2026-03-05T04:05:58.869324+00:00,,$9.2M,Vitalik Buterin (参加)
Canopy Network,2026/10/31 23:59,Launchpad Testnetへの参加、One-Click Deploymentの実行、ノードの運用。,Canopy (AI L1),C,完了,https://canopynetwork.org/,,False,,2026-03-05T04:05:58.879033+00:00,,不明,不明
XOOB,2026/10/31 23:59,XPキャンペーンへの参加、ハッシュタグ「#XOOBNetwork」を付けた毎日のSNS投稿。,XOOB Network,B,完了,https://x.com/XOOBNetwork,,False,,2026-03-05T04:05:58.890143+00:00,,$1.6M,不明
RallyOnChain,2026/10/31 23:59,Waitlist登録、SNSへの投稿、リファラルを通じたポイント獲得。,RallyOnChain,C,完了,https://waitlist.rally.fun/,,False,,2026-03-05T04:05:58.899351+00:00,,不明（低調達）,不明
Spaace,不明,NFTマーケットプレイスの利用、コミュニティ主導の配布（供給量の60%以上）への参加,不明,B,完了,spaace.io,,True,,2026-03-06T19:29:42.133982+00:00,,約$6M,"なし（コミュニティ主導）。エンジェル投資家・コミュニティとしてZeneca, Rug Radio, Nfinity Labs, Corgil, MoonBoots Capital, Smardex, Corgi Calls, Nexus Gaming, Kodama等が参加"
Genesis Globe,2026/03/11 14:09,"・公式サイト（http://genesisglobe.xyz）にてWL（ホワイトリスト）の申請を行う（48時間限定）。また、3月11日にOpenSeaにてNFTのミントが実施される。
・MMACH4でホワイトリスト登録済み",Ethereum,C,完了,http://genesisglobe.xyz,,True,,2026-03-09T05:09:21.108055+00:00,,不明,不明
NekroMancers,不明（Discord内でのWL獲得は継続中）,"ミニゲームによるWLキャンペーンは終了。現在は以下でWL枠の獲得が可能：1. 公式Discordに参加し、コミュニティ活動を通じてWLを獲得する。2. コラボレーション枠についてCollab Manager（@xmartsol, @jayjaynft4）に連絡する。",Optimism (OP),C,未完了,https://discord.gg/kpuGHnHy,,True,,2026-03-09T05:33:49.735821+00:00,,不明,不明
xStocks,不明（早期参加による20%ブーストは期間限定）,1. 公式サイトでウォレットを連携し、20%のポイントブーストを有効化する。 2. xStocksの保有、流動性提供、および貸付・借入（Borrow and Lend）市場を利用してxPointsを獲得する。,不明,C,未完了,http://defi.xstocks.fi/points,,False,,2026-03-11T05:15:19.887492+00:00,,不明,不明
ZODL (Zcash Open Development Lab),不明,Zcashネイティブのプライバシーウォレット「ZODL」の利用。主なタスク候補：ウォレットの作成、取引所からのZEC入金、プライバシー保護側（shielded）への資金移動、アプリ内でのスワップ機能、CrossPay、Keystone連携、Flexa経由の決済機能の利用。,Zcash,S,未完了,https://x.com/kiyo_crypt,,False,,2026-03-11T05:16:50.152927+00:00,,$25M超,"Paradigm, a16z crypto, Coinbase Ventures"
Theo Network (thUSD Genesis Program),2026/03/17 23:59,Genesis ProgramへのUSDCまたはthBILLの預け入れ。6週間のロック期間を経て、利回り（年化約8.3%）とポイント（エアドロップ対象の可能性）を獲得。Arbitrumチェーン推奨。,"Ethereum, Arbitrum",A,未完了,https://theo.xyz/articles/the-thusd-genesis-program-is-live,,True,,2026-03-11T05:18:58.794641+00:00,,$20M (Series A),"Hack VC, Anthos Capital, Manifold, Mirana, Metalayer, SCB, MEXC, Amber, Selini, Citadel, Jane Street, HRT, Optiver, IMC, JPMorgan"
Fowlplay,不明,公式サイト（Fowlplay.fun）にて限定のホワイトリスト枠を確保する,Optimism (OP),C,未完了,http://Fowlplay.fun,,True,,2026-03-13T09:40:53.317323+00:00,,不明,不明
VantageNFT,未定 (TBA),WL（ホワイトリスト）申請フォームへの登録（NFT供給量：969）,Ethereum,C,未完了,https://vantagenft.netlify.app,,True,,2026-03-13T09:42:11.883519+00:00,,不明,不明
Moosies,不明,アンケートフォーム（Survey）への回答（300枠の確定フリーミント枠「GTD FREE MINT」が報酬）,Optimism (OP),C,未完了,https://tinyurl.com/5h4ejnrs,,True,,2026-03-13T09:48:38.264121+00:00,,不明,不明
Noise,不明,公式サイトにアクセスし、メールアドレスを送信してウェイトリストに登録する。,不明,C,未完了,https://noise.xyz/?ref=EWFKQ9TL,,False,,2026-03-13T09:50:23.771868+00:00,,不明,不明
Byreal,不明,1. SolanaベースのDEXにてRWA（金・銀・原油・株式）および仮想通貨のパーペチュアル取引（最大40倍レバレッジ）を行う。 2. bbSOL（Bybit backed SOL）を利用した運用（APY 9%）。 3. Hyperliquidのビルダーコード統合に基づき、GOLDやOILなどの銘柄を触ることで流動性提供や取引実績を作る。,Solana,A,未完了,https://twitter.com/byreal_io,,False,,2026-03-13T09:52:22.967843+00:00,,不明,"Bybit (インキュベーション), Hyperliquid (技術・流動性協力)"
